127.0.0.1 - - [19/Apr/2017:09:23:21 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:23:22 -0500] "GET /CreationContenido/VerNivel HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:23:22 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:23:22 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:23:24 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:23:28 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:23:28 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12962
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:23:28 -0500] "GET /CreationContenido/js/materia/BusMat.js HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:28:23 -0500] "GET /CreationContenido/VerNivel HTTP/1.1" 200 9851
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:28:23 -0500] "GET /CreationContenido/js/configracion/VerNivel.js HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:41:10 -0500] "GET /CreationContenido/VerNivel HTTP/1.1" 200 9851
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:41:10 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:41:10 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:41:11 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:41:11 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:41:11 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [19/Apr/2017:09:41:11 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 200 6079
