127.0.0.1 - - [11/May/2017:09:40:41 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/May/2017:09:41:48 -0500] "GET /CreationContenido/VerArchivos?cveMat=TEST&cveCont=179 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2017:09:41:48 -0500] "GET /CreationContenido/AutentificaErrorChild HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [11/May/2017:09:41:48 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [11/May/2017:09:42:02 -0500] "GET /CreationContenido/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2017:09:42:02 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [11/May/2017:09:42:05 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2017:09:42:06 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12962
0:0:0:0:0:0:0:1 - - [11/May/2017:09:42:11 -0500] "GET /CreationContenido/VerArchivos?cveMat=TEST&cveCont=179 HTTP/1.1" 200 9025
0:0:0:0:0:0:0:1 - - [11/May/2017:09:42:11 -0500] "GET /CreationContenido/js/materia/VerArchivos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2017:09:58:05 -0500] "GET /CreationContenido/AgregaArchivo?query=1494514684985 HTTP/1.1" 200 1170
0:0:0:0:0:0:0:1 - - [11/May/2017:09:58:07 -0500] "GET /CreationContenido/css/images/ui-icons_ffffff_256x240.png HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [11/May/2017:09:58:08 -0500] "GET /CreationContenido/AgregaCarpeta?query=1494514688353 HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/May/2017:10:16:34 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12962
0:0:0:0:0:0:0:1 - - [11/May/2017:10:16:37 -0500] "GET /CreationContenido/BusContenido?cveMat=LPSBC01APS01 HTTP/1.1" 200 12520
0:0:0:0:0:0:0:1 - - [11/May/2017:10:16:41 -0500] "GET /CreationContenido/ModificaContenido?cveCont=192 HTTP/1.1" 200 26118
0:0:0:0:0:0:0:1 - - [11/May/2017:10:16:41 -0500] "GET /CreationContenido/userfiles/Lic/Prpd_Lcnc/1/LPSBC01APS01/Img/Int/Cont%20LPSBC01APS01_2.jpg HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/May/2017:10:16:51 -0500] "GET /CreationContenido/AgregaArchivos?cveMat=LPSBC01APS01&cveCont=192 HTTP/1.1" 200 6577
0:0:0:0:0:0:0:1 - - [11/May/2017:10:26:37 -0500] "POST /CreationContenido/ModificaContenido HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/May/2017:10:36:37 -0500] "POST /CreationContenido/ModificaContenido HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/May/2017:10:43:26 -0500] "GET /CreationContenido/VerArchivos?cveMat=TEST&cveCont=179 HTTP/1.1" 200 9025
0:0:0:0:0:0:0:1 - - [11/May/2017:10:43:26 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [11/May/2017:10:43:26 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 2378
