127.0.0.1 - - [23/May/2017:09:57:37 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/May/2017:09:57:39 -0500] "GET /CreationContenido/Importar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/May/2017:09:57:39 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3703
0:0:0:0:0:0:0:1 - - [23/May/2017:09:57:39 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [23/May/2017:09:57:43 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [23/May/2017:09:57:46 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/May/2017:09:57:46 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12975
0:0:0:0:0:0:0:1 - - [23/May/2017:09:57:46 -0500] "GET /CreationContenido/js/materia/BusMat.js HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [23/May/2017:10:00:33 -0500] "GET /CreationContenido/Importar HTTP/1.1" 200 8898
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/Importar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3703
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 200 177702
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 200 172280
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:25 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:26 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:26 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 200 13854
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:26 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:27 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:30 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:30 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12975
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:30 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [23/May/2017:10:06:30 -0500] "GET /CreationContenido/js/materia/BusMat.js HTTP/1.1" 200 4150
