127.0.0.1 - - [24/May/2017:10:03:17 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:18 -0500] "GET /CreationContenido/Importar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:18 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3703
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:19 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:23 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:24 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12975
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:29 -0500] "GET /CreationContenido/Importar HTTP/1.1" 200 8898
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:29 -0500] "GET /CreationContenido/js/materia/Importar.js HTTP/1.1" 200 2745
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:43 -0500] "GET /CreationContenido/Importar HTTP/1.1" 200 8898
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:43 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:43 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:43 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:43 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:43 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:43 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:43 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:43 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:43 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:03:43 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 304 -
