127.0.0.1 - - [16/May/2017:09:40:30 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/ModificaContenido?cveCont=199 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 2378
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 200 177702
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 200 172280
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:19 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:22 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:22 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 200 13854
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:22 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:23 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:23 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:27 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:27 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:31 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:34 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:35 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12962
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:35 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:35 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:35 -0500] "GET /CreationContenido/js/materia/BusMat.js HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:35 -0500] "GET /CreationContenido/fonts/icomoon.eot? HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [16/May/2017:09:44:35 -0500] "GET /CreationContenido/css/images/ui-icons_777620_256x240.png HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:06 -0500] "GET /CreationContenido/BusContenido?cveMat=LPSBC01APS01 HTTP/1.1" 200 12520
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:06 -0500] "GET /CreationContenido/js/materia/AgregaContenido.js HTTP/1.1" 200 2010
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:06 -0500] "GET /CreationContenido/js/materia/BusContenido.js HTTP/1.1" 200 2405
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:06 -0500] "GET /CreationContenido/js/materia/OrdenarContenido.js HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:09 -0500] "GET /CreationContenido/ModificaContenido?cveCont=192 HTTP/1.1" 200 26118
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:09 -0500] "GET /CreationContenido/ckfinder/ckfinder.js HTTP/1.1" 200 309499
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:09 -0500] "GET /CreationContenido/js/materia/ModificaContenido.js HTTP/1.1" 200 3433
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:09 -0500] "GET /CreationContenido/ckeditor/adapters/jquery.js HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:09 -0500] "GET /CreationContenido/ckeditor/ckeditor.js HTTP/1.1" 200 638082
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:09 -0500] "GET /CreationContenido/ckeditor/config.js?t=H0CG HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:09 -0500] "GET /CreationContenido/ckeditor/skins/kama/editor_ie.css?t=H0CG HTTP/1.1" 200 37982
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:09 -0500] "GET /CreationContenido/ckeditor/lang/en.js?t=H0CG HTTP/1.1" 200 18229
0:0:0:0:0:0:0:1 - - [16/May/2017:09:45:09 -0500] "GET /CreationContenido/ckeditor/styles.js?t=H0CG HTTP/1.1" 200 5516
