127.0.0.1 - - [27/Apr/2017:09:22:19 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:22:25 -0500] "GET /CreationContenido/VerNivel HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:22:25 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:23:04 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:23:11 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:23:11 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12962
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:23:22 -0500] "GET /CreationContenido/BusContenido?cveMat=LPSBC01APS01 HTTP/1.1" 200 12520
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:23:25 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12962
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:23:27 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 27325
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:23:31 -0500] "GET /CreationContenido/BusContenido?cveMat=AGREGARMATERIA HTTP/1.1" 200 9755
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:23:36 -0500] "GET /CreationContenido/ModificaContenido?cveCont=279 HTTP/1.1" 200 12245
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:23:37 -0500] "GET /CreationContenido/AgregaArchivos?cveMat=AGREGARMATERIA&cveCont=279 HTTP/1.1" 200 6591
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:27:19 -0500] "GET /CreationContenido/AgregaArchivos2 HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:29:28 -0500] "GET /CreationContenido/AgregaArchivos2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:09 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST HTTP/1.1" 200 4853
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:09 -0500] "GET /CreationContenido/js/materia/AgregaArchivos2.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST HTTP/1.1" 200 4853
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 200 177702
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 200 172280
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/js/materia/AgregaArchivos2.js HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/css/images/ui-icons_777620_256x240.png HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 200 13854
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:30:44 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/AutentificaErrorChild HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 200 177702
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 200 172280
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:08 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:09 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:09 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 200 13854
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:09 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:17 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:17 -0500] "GET /CreationContenido/AutentificaErrorChild HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:18 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Apr/2017:09:31:30 -0500] "GET /CreationContenido/ HTTP/1.1" 302 -
