127.0.0.1 - - [27/Jul/2017:13:36:17 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:19 -0500] "GET / HTTP/1.1" 404 976
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:19 -0500] "GET /favicon.ico HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 3984
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 3453
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 200 177702
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 200 172280
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 200 13854
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:27 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:32 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:34 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 15276
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:34 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:34 -0500] "GET /CreationContenido/js/materia/BusMat.js HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:34 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:34 -0500] "GET /CreationContenido/css/images/ui-icons_777620_256x240.png HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:34 -0500] "GET /CreationContenido/fonts/icomoon.woff HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:39 -0500] "GET /CreationContenido/ModificaConfiguracion HTTP/1.1" 200 23837
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:36:39 -0500] "GET /CreationContenido/js/configracion/ModificaConfigracion.js HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:54:52 -0500] "GET /CreationContenido/VerPlantilla HTTP/1.1" 200 7931
0:0:0:0:0:0:0:1 - - [27/Jul/2017:13:54:52 -0500] "GET /CreationContenido/js/configracion/VerPlantilla.js HTTP/1.1" 200 1891
