127.0.0.1 - - [02/May/2017:10:36:13 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:43 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST&cveCont=179 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:43 -0500] "GET /CreationContenido/AutentificaErrorChild HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:43 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:43 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:43 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:44 -0500] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:47 -0500] "GET /CreationContenido HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:47 -0500] "GET /CreationContenido/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:47 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:52 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:52 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12962
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:52 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:52 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:52 -0500] "GET /CreationContenido/js/materia/BusMat.js HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [02/May/2017:10:43:53 -0500] "GET /CreationContenido/fonts/icomoon.eot? HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [02/May/2017:10:50:33 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST&cveCont=179 HTTP/1.1" 200 7059
0:0:0:0:0:0:0:1 - - [02/May/2017:10:50:33 -0500] "GET /CreationContenido/js/materia/AgregaArchivos2.js HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [02/May/2017:10:50:33 -0500] "GET /CreationContenido/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:18 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST&cveCont=179 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:18 -0500] "GET /CreationContenido/Error HTTP/1.1" 200 3783
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:18 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/js/Error.js HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:29:19 -0500] "GET /CreationContenido/css/images/ui-icons_777620_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2017:11:30:20 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST&cveCont=179 HTTP/1.1" 200 7273
0:0:0:0:0:0:0:1 - - [02/May/2017:11:31:47 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST&cveCont=179 HTTP/1.1" 200 7712
