127.0.0.1 - - [26/Jul/2017:10:31:53 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:23 -0500] "GET /CopiarCodigo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:23 -0500] "GET /CopiarCodigo/ HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:45 -0500] "GET /CreationContenido HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 3984
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 3453
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 200 240422
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 200 97362
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 200 9174
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 200 16225
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 200 9913
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 200 172280
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:46 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 200 177702
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:47 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 200 13854
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:47 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 200 5553
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:53 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:54 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 13523
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:54 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:54 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:54 -0500] "GET /CreationContenido/js/materia/BusMat.js HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:54 -0500] "GET /CreationContenido/fonts/icomoon.eot? HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:35:54 -0500] "GET /CreationContenido/css/images/ui-icons_777620_256x240.png HTTP/1.1" 200 4549
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:08 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18674
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:10 -0500] "GET /CreationContenido/Validar?cveMat=SOLICITUDTEST HTTP/1.1" 200 9629
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:10 -0500] "GET /CreationContenido/js/materia/Validar.js HTTP/1.1" 200 3359
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:10 -0500] "GET /CreationContenido/images/loading.gif HTTP/1.1" 200 81572
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:22 -0500] "POST /CreationContenido/Validar HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:24 -0500] "POST /CreationContenido/Validar HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:24 -0500] "POST /CreationContenido/Validar HTTP/1.1" 200 9859
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:30 -0500] "POST /CreationContenido/Validar HTTP/1.1" 200 9859
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:30 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:30 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/images/cabezadoPie/LogoUDEMex.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/images/cabezadoPie/Gobierno.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/images/cabezadoPie/Baner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Verde2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/images/cabezadoPie/Fondo_Ban.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/js/materia/Validar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/fonts/icomoon.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/images/cabezadoPie/pie.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:31 -0500] "GET /CreationContenido/css/images/ui-icons_777620_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:34 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 13523
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:37 -0500] "POST /CreationContenido/BusMat HTTP/1.1" 200 18674
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:41 -0500] "GET /CreationContenido/Liberar?cveMat=SOLICITUDTEST HTTP/1.1" 200 8916
0:0:0:0:0:0:0:1 - - [26/Jul/2017:10:36:41 -0500] "GET /CreationContenido/js/materia/Liberar.js HTTP/1.1" 200 2158
