127.0.0.1 - - [28/Apr/2017:10:10:54 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:11 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST&cveCont=179 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:11 -0500] "GET /CreationContenido/AutentificaErrorChild HTTP/1.1" 200 3649
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:11 -0500] "GET /CreationContenido/js/general.js HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:15 -0500] "GET /CreationContenido/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:15 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:18 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:19 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 12962
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:19 -0500] "GET /CreationContenido/js/jquery.dlmenu.js HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:19 -0500] "GET /CreationContenido/js/materia/BusMat.js HTTP/1.1" 200 4146
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:19 -0500] "GET /CreationContenido/css/menu_component.css HTTP/1.1" 200 18586
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:19 -0500] "GET /CreationContenido/fonts/icomoon.eot? HTTP/1.1" 200 1544
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:24 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST&cveCont=179 HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:29:24 -0500] "GET /CreationContenido/js/materia/AgregaArchivos2.js HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:53:14 -0500] "GET /CreationContenido/AgregaArchivos2?cveMat=TEST&cveCont=179 HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:53:14 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 200 29510
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:53:14 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 200 2376
0:0:0:0:0:0:0:1 - - [28/Apr/2017:10:53:15 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 200 2016
