127.0.0.1 - - [06/Apr/2017:08:59:15 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Apr/2017:09:00:13 -0500] "GET /CreationContenido/ModificaConfiguracion HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2017:09:00:14 -0500] "GET /CreationContenido/AutentificaError HTTP/1.1" 200 3789
0:0:0:0:0:0:0:1 - - [06/Apr/2017:09:00:14 -0500] "GET /CreationContenido/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2017:09:00:15 -0500] "GET /CreationContenido/Autentifica HTTP/1.1" 200 4042
0:0:0:0:0:0:0:1 - - [06/Apr/2017:09:00:19 -0500] "POST /CreationContenido/Autentifica HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2017:09:00:19 -0500] "GET /CreationContenido/BusMat HTTP/1.1" 200 9770
0:0:0:0:0:0:0:1 - - [06/Apr/2017:09:58:24 -0500] "GET /CreationContenido/ModificaConfiguracion HTTP/1.1" 200 16962
0:0:0:0:0:0:0:1 - - [06/Apr/2017:09:58:24 -0500] "GET /CreationContenido/js/configracion/ModificaConfigracion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2017:10:07:23 -0500] "GET /CreationContenido/ModificaConfiguracion HTTP/1.1" 200 17247
0:0:0:0:0:0:0:1 - - [06/Apr/2017:10:07:23 -0500] "GET /CreationContenido/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2017:10:07:23 -0500] "GET /CreationContenido/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2017:10:07:24 -0500] "GET /CreationContenido/js/jquery-1.12.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2017:10:07:24 -0500] "GET /CreationContenido/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2017:10:07:24 -0500] "GET /CreationContenido/js/modernizr.custom.js HTTP/1.1" 304 -
